"","year","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"187",1960,59.4,24.7,121,41.2,111,71.6,63.8,387,1.16,0.82,3.54,0.02
"188",1961,54.975,22.125,120.75,42.375,113.75,75.825,60.575,395.5,1.1425,0.805,3.43,0.02
"189",1962,50.55,19.55,120.5,43.55,116.5,80.05,57.35,404,1.125,0.79,3.32,0.02
"190",1963,49.425,18.5,119.25,43.3,115.5,79.6,56.65,404.5,1.13,0.753333333333333,3.19333333333333,0.02
"191",1964,48.3,17.45,118,43.05,114.5,79.15,55.95,405,1.135,0.716666666666667,3.06666666666667,0.02
"192",1965,58.6,22.5,118,41,111,70.6,62.3,385,1.13,0.68,2.94,0.02
"193",1966,53.65,20.35,118,42.25,113.25,74.8,59.275,395.75,1.125,0.6625,2.925,0.0225
"194",1967,48.7,18.2,118,43.5,115.5,79,56.25,406.5,1.12,0.645,2.91,0.025
"195",1968,47.525,17.575,117.25,43.075,115.5,79.025,55.55,406.5,1.1225,0.6275,2.895,0.0275
"196",1969,46.35,16.95,116.5,42.65,115.5,79.05,54.85,406.5,1.125,0.61,2.88,0.03
"197",1970,50.375,18.125,117.75,41.525,113.75,73.875,57.625,396.25,1.1075,0.617,2.9,0.03
"198",1971,54.4,19.3,119,40.4,112,68.7,60.4,386,1.09,0.624,2.92,0.03
"199",1972,43.15,15,113,41.6,114.5,77.9,52.8,403.5,1.11,0.631,2.94,0.03
"200",1973,42.6,14.5075,112.5,41.8,114.5,78.275,52.3,406.25,1.1,0.638,2.96,0.03
"201",1974,42.05,14.015,112,42,114.5,78.65,51.8,409,1.09,0.645,2.98,0.03
"202",1975,46.425,15.7575,113,41.5,114.25,75.775,54.85,403.5,1.085,0.653333333333333,2.93333333333333,0.03
"203",1976,50.8,17.5,114,41,114,72.9,57.9,398,1.08,0.661666666666667,2.88666666666667,0.03
"204",1977,40.55,14.15,77.05,81.15,96.7,72.25,224.15,211.555,1.48,0.67,2.84,0.03
"205",1978,39.5,13.54,94.525,61.875,106.1,75.975,136.825,308.5275,1.275,0.655,2.82,0.03
"206",1979,38.45,12.93,112,42.6,115.5,79.7,49.5,405.5,1.07,0.64,2.8,0.03
"207",1980,41.025,14.115,111.5,41.85,114.25,76.5,51.75,396.75,1.05,0.625,2.78,0.03
"208",1981,43.6,15.3,111,41.1,113,73.3,54,388,1.03,0.61,2.76,0.03
"209",1982,36.55,12.575,110.5,42.55,116,79.25,49.1,411.5,1.09,0.56,2.73,0.04
"210",1983,26.7,9.94,105,42,113,82.1,41.3,405,1.08,0.575,2.655,0.035
"211",1984,34.5,11.915,109,41.7,113.5,78.9,47.5,404.5,1.085,0.59,2.58,0.03
"212",1985,33.75,12.3,104.5,41.1,111,76.75,47,398,1.06,0.55,2.6,0.04
"213",1986,25,8.71,103,41.4,111,80.7,40.8,405,1.05,0.5625,2.6125,0.0375
"214",1987,32.7,11.91,107.5,40.85,111.5,76.95,45.8,396,1.0425,0.575,2.625,0.035
"215",1988,33.4,11.55,105,41.5,112,78.4,46.3,390,1.03,0.59,2.58,0.04
"216",1989,25.5,8.97,103,43,112,83.4,39.8,391,1.01,0.54,2.55,0.04
"217",1990,32.95,11.4,104.5,41,111.5,76.6,46,393.5,1.05,0.56,2.55,0.035
"218",1991,32.45,11.39,103,41,111,76.9,214.6,194.54,1.415,0.58,2.55,0.03
